Num,PaperLink,Plant_latin,Plant_Chinese,Plant_English,Order,Family,DownloadLink,Download,Version,,
97,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10097,Panicum miliaceum, 黍, broomcorn millet,Poales,Poaceae,https://genomevolution.org/coge/GenomeInfo.pl?gid=52484,No,,没有蛋白文件,
98,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10098,Papaver somniferum, 罂粟, opium poppy,Ranunculales,Papaveraceae,https://www.ncbi.nlm.nih.gov/genome/12819?genome_assembly_id=406996,Yes,ASM357369v1,,
99,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10099,Persea americana, 鳄梨, avocado,Laurales,Lauraceae,https://genomevolution.org/coge/SearchResults.pl?s=29302&p=genome,No,,没有蛋白文件,
100,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10100,Phaseolus vulgaris, 菜豆, common bean,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/380?genome_assembly_id=48590,Yes,G19833,,
101,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10101,Phoenix dactylifera, 海枣, date palm,Arecales,Arecaceae,https://datepalmgenomehub.abudhabi.nyu.edu/?q=node/12,Yes,unan_180126,,
102,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10102,Phyllostachys edulis, 孟宗竹、毛竹, moso bamboo,Poales,Poaceae,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100498/,No,,网站打不开,
103,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10103,Picea abies, 挪威云杉、欧洲云杉, Norway spruce,Pinales,Pinaceae,ftp://plantgenie.org/Data/ConGenIE/Picea_abies/v1.0/,No,,网站打不开,
104,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10104,Pinus taeda, 火炬松, loblolly pine,Pinales,Pinaceae,,No,,网站打不开,
105,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10105,Piper nigrum, 胡椒, black pepper,Piperales,Piperaceae,http://cotton.hzau.edu.cn/EN/download.php,Yes,,,
106,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10106,Pistacia vera, 开心果, pistachio,Sapindales,Anacardiaceae,https://www.ncbi.nlm.nih.gov/genome/55403?genome_assembly_id=694755,Yes,PisVer_v2,,
107,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10107,Pisum sativum, 豌豆, common pea,Fabales,Fabaceae,https://urgi.versailles.inra.fr/download/pea/,Yes,v1a,,
108,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10108,Platycodon grandiflorus, 桔梗, balloon flower,Asterales,Campanulaceae,,No,,网站打不开,
109,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10109,Pogostemon cablin, 广霍香, patchouli,Lamiales,Lamiaceae,,No,v1,文件无法下载,
110,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10110,Populus alba, 银白杨, white poplar,Malpighiales,Salicaceae,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=GWHAAEP00000000,Yes,,,
111,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10111,Populus tremula, 欧洲山杨, European aspen,Malpighiales,Salicaceae,https://plantgenie.org/FTP?dir=Data%2FPopGenIE%2FPopulus_tremula%2Fv2.2,No,,无法下载,
112,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10112,Populus tremuloides, 美洲山杨, American aspen,Malpighiales,Salicaceae,https://plantgenie.org/FTP?dir=Data%2FPopGenIE%2FPopulus_tremuloides%2Fv1.1,No,,无法下载,
113,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10113,Populus trichocarpa, 毛果杨, black cottonwood,Malpighiales,Salicaceae,https://www.ncbi.nlm.nih.gov/genome/98?genome_assembly_id=371650,Yes,Pop_tri_v3,,
114,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10114,Primula veris, 黄花九轮草, cowslip,Ericales,Primulaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.2s200,Yes,Annot6,,
115,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10115,Prunus mume, 梅, Chinese plum,Rosales,Rosaceae,https://www.ncbi.nlm.nih.gov/genome/13911?genome_assembly_id=44389,Yes,P.mume_V1.0,,
116,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10116,Prunus persica, 桃, peach,Rosales,Rosaceae,https://www.ncbi.nlm.nih.gov/genome/388?genome_assembly_id=312190,Yes,Prunus_persica_NCBIv2,,
117,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10117,Prunus yedoensis, 樱花, flowering cherry,Rosales,Rosaceae,ftp://ftp.kazusa.or.jp/pub/cherry/Cerasus_x_yedoensis/,No,r3.1,网站打不开,
118,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10118,Punica granatum, 石榴, pomegranate,Myrtales,Lythraceae,https://www.ncbi.nlm.nih.gov/genome/13946?genome_assembly_id=720008,Yes,ASM765513v2,,
119,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10119,Pyrus bretschneideri, 梨, pear,Rosales,Rosaceae,https://www.rosaceae.org/species/pyrus_bretschneideri/genome_v1.1,Yes,v1.1,,
120,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10120,Pyrus communis, 西洋梨, european pear,Rosales,Rosaceae,http://gigadb.org/dataset/view/id/100644/File_page/2,Yes,v2.0,,
121,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10121,Quercus robur, 橡树, oak,Fagales,Fagaceae,https://www.oakgenome.fr/?page_id=587,Yes,PM1N,,
122,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10122,Raphanus sativus, 萝卜, radish,Brassicales,Brassicaceae,https://plantgarden.jp/en/download/t3726/t3726.G003/,Yes,RSAskr_r1.0,,
123,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10123,Rhodiola crenulata, 大花红景天, rhodiola crenulata,Saxifragales,Crassulaceae,http://gigadb.org/dataset/100301,Yes,,,
124,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10124,Rhododendron simsii, 杜鹃, azaleas,Ericales,Ericaceae,http://rhododendron.plantgenie.org/,No,,网站打不开,
125,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10125,Ricinus communis, 蓖麻, castor bean,Malpighiales,Euphorbiaceae,,No,0.1,网站打不开,
126,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10126,Rosa chinensis, 月季, rose,Rosales,Rosaceae,https://www.rosaceae.org/analysis/282,Yes,v2.0,,
127,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10127,Rosa multiflora, 野玫瑰, wild rose,Rosales,Rosaceae,https://drive.google.com/drive/folders/1bhwxXb4RMRJYqyu5aez1y_XEvgv-uZQN,Yes,r2.0.braker1,,
128,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10128,Rosmarinus officinalis, 迷迭香, rosemary,Lamiales,Lamiaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.jwstqjq6t,Yes,,,
129,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10129,Salvia miltiorrhiza, 丹参, Chinese red sage,Lamiales,Lamiaceae,https://ngdc.cncb.ac.cn/gwh/Assembly/10381/show,Yes,2020,,
130,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10130,Salvia splendens, 一串红, scarlet sage,Lamiales,Lamiaceae,http://gigadb.org/dataset/100463,Yes,,,
131,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10131,Selaginella moellendorffii, 江南卷柏, gemmiferous spikemoss,Selaginellales,Selaginellaceae,https://www.ncbi.nlm.nih.gov/genome/?term=txid88036[orgn],Yes,v1.0,,
132,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10132,Sesamum indicum, 芝麻, sesame,Lamiales,Pedaliaceae,,No,,网站打不开,
133,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10133,Setaria italica, 谷子, foxtail millet,Poales,Poaceae,,No,,网站打不开,
134,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10134,Sinapis alba, 白芥, white mustard,Brassicales,Brassicaceae,https://www.ncbi.nlm.nih.gov/genome/87543?genome_assembly_id=1473946,Yes,S.alba_v1,,
135,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10135,Siraitia grosvenorii, 罗汉果, monk fruit,Cucurbitales,Cucurbitaceae,http://gigadb.org/dataset/100452,Yes,,,
136,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10136,Solanum chacoense, 野生马铃薯, wild potato,Solanales,Solanaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.kc835,Yes,v4.1,,
137,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10137,Solanum melongena, 茄子, eggplant,Solanales,Solanaceae,http://eggplant-hq.cn/Eggplant/download,Yes,2020,,
138,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10138,Solanum tuberosum, 马铃薯, potato,Solanales,Solanaceae,http://spuddb.uga.edu/rh_potato_download.shtml,Yes,v3,,
139,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10139,Spatholobus suberectus, 密花豆, NA,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/76287?genome_assembly_id=467861,Yes,ASM432916v1,,
140,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10140,Spinacia oleracea, 菠菜, spinach,Caryophyllales,Amaranthaceae,http://www.spinachbase.org/download,Yes,v1,,
141,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10141,Tectona grandis, 柚木, teak,Lamiales,Lamiaceae,http://gigadb.org/dataset/100550,Yes,2019,多个版本,
142,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10142,Theobroma cacao, 可可, cacao,Malvales,Malvaceae,https://cocoa-genome-hub.southgreen.fr/download,Yes,V2,,
143,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10143,Tripterygium wilfordii, 雷公藤, thunder god vine,Celastrales,Celastraceae,https://www.ncbi.nlm.nih.gov/genome/12874?genome_assembly_id=919160,Yes,ASM1340144v1,,
144,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10144,Triticum aestivum, 小麦, wheat,Poales,Poaceae,https://urgi.versailles.inrae.fr/download/iwgsc/IWGSC_RefSeq_Annotations/v2.1/,Yes,iwgsc_refseqv2.1,,
145,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10145,Trochodendron aralioides, 昆栏树, wheel tree ,Trochodendrales,Trochodendraceae,http://gigadb.org/dataset/100657,Yes,,,
146,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10146,Vigna angularis, 赤豆, azuki bean,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/11109?genome_assembly_id=244761,Yes,Vigan1.1,,
147,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10147,Vigna unguiculata, 豇豆, cowpea,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/assembly?LinkName=genome_assembly&from_uid=11030,Yes,ASM411807v1,,
148,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10148,Vitis vinifera, 葡萄, grape,Vitales,Vitaceae,http://www.grapegenomics.com/pages/VvCabSauv/download.php,Yes,vCabSauv08_v1.1,多个版本,
149,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10149,Zea mays, 玉米, maize,Poales,Poaceae,https://download.maizegdb.org/Zm-W22-REFERENCE-NRGENE-2.0/,Yes,Zm-W22-REFERENCE-NRGENE-2.0_Zm00004b.1,多个版本,
150,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10150,Ziziphus jujuba, 枣, jujube,Rosales,Rhamnaceae,https://www.ncbi.nlm.nih.gov/genome/15586?genome_assembly_id=219393,Yes,ZizJuj_1.1,,
151,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10151,Zostera marina, 大叶藻, eelgrass,Alismatales,Zosteraceae,https://bioinformatics.psb.ugent.be/gdb/zostera/,Yes,v2,,
152,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10152,Strobilanthes cusia, 板蓝、马蓝, assam indigo,Lamiales,Acanthaceae,http://indigoid-plant.iflora.cn/,Yes,,,
153,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10153,Senna tora, 决明, sickle senna,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/44961?genome_assembly_id=1470505,Yes,ASM1485142v1,,
154,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10154,Artemisia annua, 黄花蒿, sweet wormwood or Qinghao,Fabales,Fabaceae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/112/345/GCA_003112345.1_ASM311234v1/,Yes,ASM311234v1,,
155,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10155,Chrysanthemum nankingense, 菊花脑, juhuanao,Asterales,Asteraceae,http://www.amwayabrc.com/download.htm,Yes,v2.0,蛋白文件有问题,
156,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10156,Cinnamomum kanehirae, 牛樟, stout camphor tree,Laurales,Lauraceae,https://www.ncbi.nlm.nih.gov/genome/57158?genome_assembly_id=405569,Yes,ASBRC_Ckan_1.0,,
157,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10157,Bombax ceiba, 木棉, red silk cotton tree,Malvales,Malvaceae,http://gigadb.org/dataset/100445,Yes,,,
158,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10158,Toona sinensis, 香椿, Chinese mahogany,Sapindales,Meliaceae,https://ftp.cngb.org/pub/CNSA/data1/CNP0000958/CNS0203218/CNA0019196/,Yes,V1,,
159,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10159,Chiococca alba, 西印度乳果, west Indian milkberry,Gentianales,Rubiaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.00000000r,Yes,,,
160,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10160,Acer truncatum, 元宝枫, purpleblow maple,Sapindales,Sapindaceae,https://figshare.com/articles/dataset/The_Acer_truncatum_genome_provides_insights_into_the_nervonic_acid_biosynthesis/12986237/2,Yes,,,
161,https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.13675,Arctium lappa,牛蒡,,,,ftp://ftp.agis.org.cn/Inulin_plants/Inulin_plants/Arctium_lappa/,No,,,
162,https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.13675,Cichorium endivia,苦菊,,,,ftp://ftp.agis.org.cn/Inulin_plants/Inulin_plants/Cichorium_endivia/,No,,,
163,https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.13675,Cichorium intybus,菊苣,,,,ftp://ftp.agis.org.cn/Inulin_plants/Inulin_plants/Cichorium_intybus/,No,,,
164,https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.13675,Smallanthus sonchifolius,雪莲果,,,,ftp://ftp.agis.org.cn/Inulin_plants/Inulin_plants/Smallanthus_sonchifolius/,No,,,
165,,,,,,,,No,,,
166,,,,,,,,No,,,
167,,,,,,,,No,,,
168,,,,,,,,No,,,
169,,,,,,,,No,,,
170,,,,,,,,No,,,
171,,,,,,,,No,,,
172,,,,,,,,No,,,
173,,,,,,,,No,,,
174,,,,,,,,No,,,
175,,,,,,,,No,,,
176,,,,,,,,No,,,
177,,,,,,,,No,,,
178,,,,,,,,No,,,
179,,,,,,,,No,,,
180,,,,,,,,No,,,
181,,,,,,,,No,,,
182,,,,,,,,No,,,
183,,,,,,,,No,,,
184,,,,,,,,No,,,
185,,,,,,,,No,,,
186,,,,,,,,No,,,
187,,,,,,,,No,,,
188,,,,,,,,No,,,
189,,,,,,,,No,,,
190,,,,,,,,No,,,
191,,,,,,,,No,,,
192,,,,,,,,No,,,
193,,,,,,,,No,,,
194,,,,,,,,No,,,
195,,,,,,,,No,,,
196,,,,,,,,No,,,
197,,,,,,,,No,,,
198,,,,,,,,No,,,
199,,,,,,,,No,,,
200,,,,,,,,No,,,
201,,,,,,,,No,,,
202,,,,,,,,No,,,
203,,,,,,,,No,,,
204,,,,,,,,No,,,
205,,,,,,,,No,,,
206,,,,,,,,No,,,
207,,,,,,,,No,,,
208,,,,,,,,No,,,
209,,,,,,,,No,,,
210,,,,,,,,No,,,
211,,,,,,,,No,,,
212,,,,,,,,No,,,
213,,,,,,,,No,,,
214,,,,,,,,No,,,
215,,,,,,,,No,,,
216,,,,,,,,No,,,
217,,,,,,,,No,,,
218,,,,,,,,No,,,
219,,,,,,,,No,,,
220,,,,,,,,No,,,
221,,,,,,,,No,,,
222,,,,,,,,No,,,
223,,,,,,,,No,,,
224,,,,,,,,No,,,
225,,,,,,,,No,,,
226,,,,,,,,No,,,
227,,,,,,,,No,,,
228,,,,,,,,No,,,
229,,,,,,,,No,,,
230,,,,,,,,No,,,
231,,,,,,,,No,,,
232,,,,,,,,No,,,
233,,,,,,,,No,,,
234,,,,,,,,No,,,
235,,,,,,,,No,,,
236,,,,,,,,No,,,
237,,,,,,,,No,,,
238,,,,,,,,No,,,
239,,,,,,,,No,,,
240,,,,,,,,No,,,
241,,,,,,,,No,,,
242,,,,,,,,No,,,
243,,,,,,,,No,,,
244,,,,,,,,No,,,
245,,,,,,,,No,,,
246,,,,,,,,No,,,
247,,,,,,,,No,,,
248,,,,,,,,No,,,
249,,,,,,,,No,,,
250,,,,,,,,No,,,
251,,,,,,,,No,,,
252,,,,,,,,No,,,
253,,,,,,,,No,,,
254,,,,,,,,No,,,
255,,,,,,,,No,,,
256,,,,,,,,No,,,
257,,,,,,,,No,,,
258,,,,,,,,No,,,
259,,,,,,,,No,,,
260,,,,,,,,No,,,
261,,,,,,,,No,,,
262,,,,,,,,No,,,
263,,,,,,,,No,,,
264,,,,,,,,No,,,
265,,,,,,,,No,,,
266,,,,,,,,No,,,
267,,,,,,,,No,,,
268,,,,,,,,No,,,
269,,,,,,,,No,,,
270,,,,,,,,No,,,
271,,,,,,,,No,,,
272,,,,,,,,No,,,
273,,,,,,,,No,,,
274,,,,,,,,No,,,
275,,,,,,,,No,,,
276,,,,,,,,No,,,
277,,,,,,,,No,,,
278,,,,,,,,No,,,
279,,,,,,,,No,,,
280,,,,,,,,No,,,
281,,,,,,,,No,,,
282,,,,,,,,No,,,
283,,,,,,,,No,,,
284,,,,,,,,No,,,
285,,,,,,,,No,,,
286,,,,,,,,No,,,
287,,,,,,,,No,,,
288,,,,,,,,No,,,
289,,,,,,,,No,,,
290,,,,,,,,No,,,
291,,,,,,,,No,,,
292,,,,,,,,No,,,
293,,,,,,,,No,,,
294,,,,,,,,No,,,
295,,,,,,,,No,,,
296,,,,,,,,No,,,
297,,,,,,,,No,,,
298,,,,,,,,No,,,
299,,,,,,,,No,,,
300,,,,,,,,No,,,
301,,,,,,,,No,,,
302,,,,,,,,No,,,
303,,,,,,,,No,,,
304,,,,,,,,No,,,
305,,,,,,,,No,,,
306,,,,,,,,No,,,
307,,,,,,,,No,,,
308,,,,,,,,No,,,
309,,,,,,,,No,,,
310,,,,,,,,No,,,
311,,,,,,,,No,,,
312,,,,,,,,No,,,
313,,,,,,,,No,,,
314,,,,,,,,No,,,
315,,,,,,,,No,,,
316,,,,,,,,No,,,
317,,,,,,,,No,,,
318,,,,,,,,No,,,
319,,,,,,,,No,,,
320,,,,,,,,No,,,
321,,,,,,,,No,,,
322,,,,,,,,No,,,
323,,,,,,,,No,,,
324,,,,,,,,No,,,
325,,,,,,,,No,,,
326,,,,,,,,No,,,
327,,,,,,,,No,,,
328,,,,,,,,No,,,
329,,,,,,,,No,,,
330,,,,,,,,No,,,
331,,,,,,,,No,,,
332,,,,,,,,No,,,
333,,,,,,,,No,,,
334,,,,,,,,No,,,
335,,,,,,,,No,,,
336,,,,,,,,No,,,
337,,,,,,,,No,,,
338,,,,,,,,No,,,
339,,,,,,,,No,,,
340,,,,,,,,No,,,
341,,,,,,,,No,,,
342,,,,,,,,No,,,
343,,,,,,,,No,,,
344,,,,,,,,No,,,
345,,,,,,,,No,,,
346,,,,,,,,No,,,
347,,,,,,,,No,,,
348,,,,,,,,No,,,
349,,,,,,,,No,,,
350,,,,,,,,No,,,
351,,,,,,,,No,,,
352,,,,,,,,No,,,
353,,,,,,,,No,,,
354,,,,,,,,No,,,
355,,,,,,,,No,,,
356,,,,,,,,No,,,
357,,,,,,,,No,,,
358,,,,,,,,No,,,
359,,,,,,,,No,,,
360,,,,,,,,No,,,
361,,,,,,,,No,,,
362,,,,,,,,No,,,
363,,,,,,,,No,,,
364,,,,,,,,No,,,
365,,,,,,,,No,,,
366,,,,,,,,No,,,
367,,,,,,,,No,,,
368,,,,,,,,No,,,
369,,,,,,,,No,,,
370,,,,,,,,No,,,
371,,,,,,,,No,,,
372,,,,,,,,No,,,
373,,,,,,,,No,,,
374,,,,,,,,No,,,
375,,,,,,,,No,,,
376,,,,,,,,No,,,
377,,,,,,,,No,,,
378,,,,,,,,No,,,
379,,,,,,,,No,,,
380,,,,,,,,No,,,
381,,,,,,,,No,,,
382,,,,,,,,No,,,
383,,,,,,,,No,,,
384,,,,,,,,No,,,
385,,,,,,,,No,,,
386,,,,,,,,No,,,
387,,,,,,,,No,,,
388,,,,,,,,No,,,
389,,,,,,,,No,,,
390,,,,,,,,No,,,
391,,,,,,,,No,,,
392,,,,,,,,No,,,
393,,,,,,,,No,,,
394,,,,,,,,No,,,
395,,,,,,,,No,,,
396,,,,,,,,No,,,
397,,,,,,,,No,,,
398,,,,,,,,No,,,
399,,,,,,,,No,,,
400,,,,,,,,No,,,
401,,,,,,,,No,,,
402,,,,,,,,No,,,
403,,,,,,,,No,,,
404,,,,,,,,No,,,
405,,,,,,,,No,,,
406,,,,,,,,No,,,
407,,,,,,,,No,,,
408,,,,,,,,No,,,
409,,,,,,,,No,,,
410,,,,,,,,No,,,
411,,,,,,,,No,,,
412,,,,,,,,No,,,
413,,,,,,,,No,,,
414,,,,,,,,No,,,
415,,,,,,,,No,,,
416,,,,,,,,No,,,
417,,,,,,,,No,,,
418,,,,,,,,No,,,
419,,,,,,,,No,,,
420,,,,,,,,No,,,
421,,,,,,,,No,,,
422,,,,,,,,No,,,
423,,,,,,,,No,,,
424,,,,,,,,No,,,
425,,,,,,,,No,,,
426,,,,,,,,No,,,
427,,,,,,,,No,,,
428,,,,,,,,No,,,
429,,,,,,,,No,,,
430,,,,,,,,No,,,
431,,,,,,,,No,,,
432,,,,,,,,No,,,
433,,,,,,,,No,,,
434,,,,,,,,No,,,
435,,,,,,,,No,,,
436,,,,,,,,No,,,
437,,,,,,,,No,,,
438,,,,,,,,No,,,
439,,,,,,,,No,,,
440,,,,,,,,No,,,
441,,,,,,,,No,,,
442,,,,,,,,No,,,
443,,,,,,,,No,,,
444,,,,,,,,No,,,
445,,,,,,,,No,,,
446,,,,,,,,No,,,
447,,,,,,,,No,,,
448,,,,,,,,No,,,
449,,,,,,,,No,,,
450,,,,,,,,No,,,
451,,,,,,,,No,,,
452,,,,,,,,No,,,
453,,,,,,,,No,,,
454,,,,,,,,No,,,
455,,,,,,,,No,,,
456,,,,,,,,No,,,
457,,,,,,,,No,,,
458,,,,,,,,No,,,
459,,,,,,,,No,,,
460,,,,,,,,No,,,
461,,,,,,,,No,,,
462,,,,,,,,No,,,
463,,,,,,,,No,,,
464,,,,,,,,No,,,
465,,,,,,,,No,,,
466,,,,,,,,No,,,
467,,,,,,,,No,,,
468,,,,,,,,No,,,
469,,,,,,,,No,,,
470,,,,,,,,No,,,
471,,,,,,,,No,,,
472,,,,,,,,No,,,
473,,,,,,,,No,,,
474,,,,,,,,No,,,
475,,,,,,,,No,,,
476,,,,,,,,No,,,
477,,,,,,,,No,,,
478,,,,,,,,No,,,
479,,,,,,,,No,,,
480,,,,,,,,No,,,
481,,,,,,,,No,,,
482,,,,,,,,No,,,
483,,,,,,,,No,,,
484,,,,,,,,No,,,
485,,,,,,,,No,,,
486,,,,,,,,No,,,
487,,,,,,,,No,,,
488,,,,,,,,No,,,
489,,,,,,,,No,,,
490,,,,,,,,No,,,
491,,,,,,,,No,,,
492,,,,,,,,No,,,
493,,,,,,,,No,,,
494,,,,,,,,No,,,
495,,,,,,,,No,,,
496,,,,,,,,No,,,
497,,,,,,,,No,,,
498,,,,,,,,No,,,
499,,,,,,,,No,,,
500,,,,,,,,No,,,
